<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
211123;000000;7180.5000000;7216.0000000;7137.5000000;7209.0000000;481480
221123;000000;7211.5000000;7299.0000000;7207.0000000;7299.0000000;677016
231123;000000;7302.0000000;7330.0000000;7251.5000000;7258.0000000;390183
241123;000000;7270.0000000;7320.0000000;7255.0000000;7295.0000000;418285
271123;000000;7301.5000000;7345.0000000;7212.0000000;7222.5000000;605795
281123;000000;7223.5000000;7245.5000000;7161.0000000;7238.0000000;401191
291123;000000;7228.0000000;7238.0000000;7186.0000000;7202.0000000;302370
301123;000000;7206.0000000;7285.5000000;7170.0000000;7239.0000000;608657
011223;000000;7239.0000000;7272.5000000;7162.5000000;7175.5000000;490503
041223;000000;7169.0000000;7199.5000000;7110.5000000;7132.5000000;665356
051223;000000;7137.0000000;7250.0000000;7137.0000000;7248.5000000;555796
061223;000000;7265.5000000;7275.0000000;7051.5000000;7138.0000000;647722
071223;000000;7145.0000000;7173.0000000;7071.0000000;7092.0000000;476699
081223;000000;7115.0000000;7173.0000000;7092.0000000;7140.0000000;424769
111223;000000;7182.5000000;7189.0000000;6929.0000000;6977.0000000;1023902
121223;000000;7006.0000000;7100.0000000;6813.0000000;7014.5000000;1400532
131223;000000;7000.5000000;7062.5000000;6914.0000000;7043.5000000;570415
141223;000000;7040.0000000;7084.5000000;6850.5000000;6860.0000000;1218743
151223;000000;6397.5000000;6632.0000000;6381.0000000;6560.0000000;2378739
181223;000000;6580.5000000;6761.5000000;6526.0000000;6723.5000000;1261552
191223;000000;6731.0000000;6771.0000000;6690.0000000;6709.0000000;677609
201223;000000;6710.0000000;6849.0000000;6696.0000000;6735.0000000;978630
211223;000000;6729.0000000;6774.0000000;6633.5000000;6702.0000000;1034330
221223;000000;6711.5000000;6795.0000000;6708.5000000;6732.5000000;542153
251223;000000;6748.0000000;6784.0000000;6730.0000000;6744.0000000;358965
261223;000000;6749.0000000;6771.0000000;6720.0000000;6771.0000000;430163
271223;000000;6773.5000000;6840.0000000;6761.0000000;6768.0000000;496504
281223;000000;6767.5000000;6802.5000000;6725.5000000;6767.0000000;440041
291223;000000;6773.0000000;6778.5000000;6729.0000000;6739.0000000;279198
