<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
230623;000000;0.0222050;0.0225250;0.0216000;0.0220000;209154200000
260623;000000;0.0222750;0.0223500;0.0214250;0.0218800;189793000000
270623;000000;0.0219400;0.0221550;0.0216100;0.0218100;128589240000
280623;000000;0.0218250;0.0219500;0.0216000;0.0216750;77276810000
290623;000000;0.0216500;0.0219500;0.0215500;0.0218050;96156660000
300623;000000;0.0218150;0.0219350;0.0216450;0.0216850;50797120000
030723;000000;0.0217850;0.0220900;0.0216750;0.0220900;112964170000
040723;000000;0.0221450;0.0226950;0.0220700;0.0224300;217241950000
050723;000000;0.0225250;0.0226650;0.0222050;0.0224400;98755880000
060723;000000;0.0224500;0.0225550;0.0222950;0.0224150;97633990000
070723;000000;0.0224350;0.0225100;0.0220250;0.0224850;84839410000
100723;000000;0.0226500;0.0230250;0.0226200;0.0230100;139295950000
110723;000000;0.0230200;0.0234500;0.0228500;0.0233600;258101450000
120723;000000;0.0234300;0.0234850;0.0230200;0.0232000;150859970000
130723;000000;0.0232300;0.0233500;0.0229000;0.0230750;96432900000
140723;000000;0.0230500;0.0233700;0.0229400;0.0232750;86181420000
170723;000000;0.0230850;0.0233450;0.0229150;0.0232300;85119560000
180723;000000;0.0232650;0.0236750;0.0232200;0.0235400;158394080000
190723;000000;0.0236050;0.0236350;0.0232800;0.0233500;83678200000
200723;000000;0.0234000;0.0234100;0.0227100;0.0227600;135384300000
210723;000000;0.0228050;0.0231150;0.0227600;0.0230350;81577090000
240723;000000;0.0231000;0.0232900;0.0230150;0.0232250;57414910000
250723;000000;0.0232550;0.0234100;0.0231800;0.0233100;62670700000
260723;000000;0.0233200;0.0235600;0.0232100;0.0234900;91224560000
270723;000000;0.0235550;0.0253000;0.0235450;0.0251000;514180370000
280723;000000;0.0251300;0.0252850;0.0246350;0.0250800;227129190000
310723;000000;0.0253500;0.0259500;0.0252400;0.0258150;251729180000
010823;000000;0.0259100;0.0260000;0.0254150;0.0256300;195215390000
020823;000000;0.0256300;0.0256850;0.0253400;0.0256000;98095980000
030823;000000;0.0255500;0.0273100;0.0254150;0.0270700;425276690000
040823;000000;0.0271000;0.0275500;0.0259400;0.0265250;392131170000
070823;000000;0.0266200;0.0270400;0.0256300;0.0260750;204235470000
080823;000000;0.0260000;0.0266600;0.0254000;0.0266600;221728840000
090823;000000;0.0267100;0.0269650;0.0262400;0.0265450;121249640000
100823;000000;0.0266850;0.0288000;0.0265250;0.0285500;649453760000
110823;000000;0.0285350;0.0288200;0.0280800;0.0283000;247000680000
140823;000000;0.0286400;0.0287900;0.0272700;0.0274600;302253490000
150823;000000;0.0272400;0.0279900;0.0270550;0.0271950;192399520000
160823;000000;0.0273150;0.0274050;0.0262550;0.0267750;222313760000
170823;000000;0.0270050;0.0280800;0.0265550;0.0278450;203779770000
180823;000000;0.0279000;0.0283200;0.0276050;0.0279600;195847260000
210823;000000;0.0281250;0.0282400;0.0277150;0.0278700;103141040000
220823;000000;0.0278650;0.0279000;0.0275050;0.0277350;97657060000
230823;000000;0.0278100;0.0278100;0.0267700;0.0270200;160564460000
240823;000000;0.0271950;0.0276500;0.0269050;0.0276250;100953420000
250823;000000;0.0276200;0.0280450;0.0275000;0.0278550;112597250000
280823;000000;0.0279650;0.0285000;0.0279500;0.0284350;138392560000
290823;000000;0.0284400;0.0286400;0.0280500;0.0282400;125144000000
300823;000000;0.0283050;0.0283750;0.0278500;0.0281000;85658230000
310823;000000;0.0281800;0.0291750;0.0281500;0.0288250;264151520000
010923;000000;0.0288250;0.0289900;0.0285750;0.0287900;86901590000
040923;000000;0.0289950;0.0293850;0.0288900;0.0292950;137960900000
050923;000000;0.0292750;0.0293150;0.0287000;0.0289950;150392350000
060923;000000;0.0289950;0.0289950;0.0283150;0.0285150;98768090000
070923;000000;0.0285000;0.0287150;0.0270750;0.0275450;231372030000
080923;000000;0.0276700;0.0277400;0.0267350;0.0271900;162441130000
110923;000000;0.0271400;0.0275450;0.0265200;0.0266650;170865450000
120923;000000;0.0269350;0.0274200;0.0267000;0.0273550;130835110000
130923;000000;0.0274000;0.0275750;0.0265550;0.0266700;108088910000
140923;000000;0.0267050;0.0268200;0.0259250;0.0266050;162008090000
150923;000000;0.0266650;0.0271800;0.0264900;0.0270850;111764890000
180923;000000;0.0272400;0.0273750;0.0266700;0.0268700;95572930000
190923;000000;0.0268700;0.0268700;0.0256300;0.0256700;203389110000
200923;000000;0.0256500;0.0260000;0.0249050;0.0255400;231188940000
210923;000000;0.0254850;0.0256700;0.0245150;0.0246000;165780990000
220923;000000;0.0247150;0.0252500;0.0244800;0.0251250;146855150000
250923;000000;0.0251900;0.0253500;0.0248550;0.0251200;84295490000
260923;000000;0.0250550;0.0257150;0.0246800;0.0255000;132101540000
270923;000000;0.0255600;0.0258850;0.0253400;0.0256150;92323310000
280923;000000;0.0256250;0.0259850;0.0254400;0.0258050;104157770000
290923;000000;0.0259100;0.0261000;0.0255500;0.0257000;96079820000
021023;000000;0.0257500;0.0258700;0.0252000;0.0253100;87904900000
031023;000000;0.0252600;0.0253800;0.0248950;0.0251900;91019780000
041023;000000;0.0251400;0.0253800;0.0248000;0.0248900;73447240000
051023;000000;0.0248900;0.0250250;0.0246300;0.0247950;75595860000
061023;000000;0.0249850;0.0251700;0.0246400;0.0251500;78143010000
091023;000000;0.0253600;0.0255850;0.0252350;0.0254700;134200490000
101023;000000;0.0254450;0.0255250;0.0252500;0.0253400;62204320000
111023;000000;0.0254000;0.0254700;0.0247400;0.0248450;87440990000
121023;000000;0.0248500;0.0251950;0.0247500;0.0251750;62834850000
131023;000000;0.0251700;0.0256400;0.0250400;0.0253800;81619840000
161023;000000;0.0254900;0.0261400;0.0254400;0.0259800;120053660000
171023;000000;0.0259650;0.0264750;0.0258500;0.0261950;139677640000
181023;000000;0.0262550;0.0263950;0.0257600;0.0261200;91194560000
191023;000000;0.0260550;0.0263900;0.0258650;0.0261700;68442450000
201023;000000;0.0262200;0.0262250;0.0257300;0.0259950;88267730000
231023;000000;0.0260650;0.0263000;0.0259650;0.0261100;63497540000
