<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
140423;000000;15414.0000000;15890.0000000;15380.0000000;15786.0000000;235075
170423;000000;15886.0000000;15994.0000000;15770.0000000;15900.0000000;101596
180423;000000;15942.0000000;15968.0000000;15712.0000000;15908.0000000;96847
190423;000000;15904.0000000;16104.0000000;15790.0000000;15918.0000000;152286
200423;000000;15914.0000000;15948.0000000;15728.0000000;15802.0000000;94830
210423;000000;15744.0000000;15970.0000000;15420.0000000;15798.0000000;133636
240423;000000;15790.0000000;15850.0000000;15600.0000000;15700.0000000;80423
250423;000000;15698.0000000;15700.0000000;15500.0000000;15538.0000000;67319
260423;000000;15568.0000000;15580.0000000;15302.0000000;15330.0000000;107462
270423;000000;15332.0000000;15388.0000000;15202.0000000;15370.0000000;150917
280423;000000;15368.0000000;15370.0000000;14560.0000000;14572.0000000;467839
020523;000000;14506.0000000;14684.0000000;14300.0000000;14542.0000000;312111
030523;000000;14558.0000000;14682.0000000;14400.0000000;14440.0000000;177441
040523;000000;14470.0000000;14574.0000000;14380.0000000;14470.0000000;78766
050523;000000;14480.0000000;14542.0000000;14328.0000000;14352.0000000;67921
080523;000000;14350.0000000;14396.0000000;14202.0000000;14218.0000000;49814
100523;000000;14240.0000000;14688.0000000;14202.0000000;14604.0000000;120009
110523;000000;14650.0000000;14754.0000000;14340.0000000;14476.0000000;131193
120523;000000;14488.0000000;14642.0000000;14382.0000000;14544.0000000;84409
150523;000000;14632.0000000;14796.0000000;14550.0000000;14768.0000000;93822
160523;000000;14802.0000000;14848.0000000;14620.0000000;14762.0000000;63159
170523;000000;14760.0000000;14850.0000000;14682.0000000;14778.0000000;55368
180523;000000;14782.0000000;14932.0000000;14700.0000000;14736.0000000;66924
190523;000000;14692.0000000;14740.0000000;14520.0000000;14730.0000000;72639
220523;000000;14746.0000000;14784.0000000;14580.0000000;14602.0000000;38578
230523;000000;14618.0000000;14684.0000000;14526.0000000;14648.0000000;55564
240523;000000;14640.0000000;14758.0000000;14564.0000000;14696.0000000;53596
250523;000000;14720.0000000;14720.0000000;14550.0000000;14562.0000000;48454
260523;000000;14570.0000000;14728.0000000;14552.0000000;14670.0000000;52773
290523;000000;14698.0000000;14796.0000000;14562.0000000;14654.0000000;66384
300523;000000;14588.0000000;14750.0000000;14526.0000000;14574.0000000;63714
310523;000000;14550.0000000;14588.0000000;14400.0000000;14580.0000000;52408
010623;000000;14622.0000000;14638.0000000;14480.0000000;14576.0000000;45393
020623;000000;14604.0000000;14794.0000000;14580.0000000;14782.0000000;61286
